"","ISO2_Code","Species_custom","VALUE","Country"
"1","AL","Bass and bream",35592.539,"Albania"
"2","AL","Salmonids",5238.776,"Albania"
"3","AT","Other",14367.097,"Austria"
"4","AT","Carp",2469.573,"Austria"
"5","AT","Salmonids",15731.585,"Austria"
"6","AT","Catfish",1937.913,"Austria"
"7","BA","Bass and bream",680.71,"Bosnia and Herzegovina"
"8","BA","Salmonids",12894.47,"Bosnia and Herzegovina"
"9","BA","Carp",1397.2,"Bosnia and Herzegovina"
"10","BA","Other",289.28,"Bosnia and Herzegovina"
"11","BE","Other",1832.178,"Belgium"
"12","BG","Other",2983.171,"Bulgaria"
"13","BG","Carp",9469.767,"Bulgaria"
"14","BG","Catfish",2423.96,"Bulgaria"
"15","BG","Salmonids",18078.545,"Bulgaria"
"16","BY","Other",2354.404,"Belarus"
"17","BY","Carp",12728.071,"Belarus"
"18","BY","Salmonids",1751.319,"Belarus"
"19","BY","Catfish",8.126,"Belarus"
"20","CH","Other",14360,"Switzerland"
"21","CH","Salmonids",30840,"Switzerland"
"22","CZ","Catfish",588.689,"Czechia"
"23","CZ","Carp",42478.302,"Czechia"
"24","CZ","Other",5273.152,"Czechia"
"25","CZ","Salmonids",2214.659,"Czechia"
"26","DE","Carp",13572.449,"Germany"
"27","DE","Catfish",1427.671,"Germany"
"28","DE","Salmonids",42604.241,"Germany"
"29","DE","Other",44489.621,"Germany"
"30","DK","Other",23175.706,"Denmark"
"31","DK","Salmonids",115948.615,"Denmark"
"32","EE","Other",1030.476,"Estonia"
"33","EE","Carp",68.461,"Estonia"
"34","EE","Salmonids",4058.946,"Estonia"
"35","ES","Bass and bream",243433.015,"Spain"
"36","ES","Turbot",80036.196,"Spain"
"37","ES","Other",286544.113,"Spain"
"38","ES","Salmonids",66772.338,"Spain"
"39","FI","Other",10701.586,"Finland"
"40","FI","Salmonids",87699.344,"Finland"
"41","FR","Other",46433.791,"France"
"42","FR","Carp",4587.605,"France"
"43","FR","Salmonids",111617.514,"France"
"44","FR","Bass and bream",13889.906,"France"
"45","GB","Other",10747.555,"United Kingdom of Great Britain and Northern Ireland"
"46","GB","Salmonids",1170626.935,"United Kingdom of Great Britain and Northern Ireland"
"47","GB","Carp",7565.719,"United Kingdom of Great Britain and Northern Ireland"
"48","GR","Bass and bream",786164.004,"Greece"
"49","GR","Other",99334.467,"Greece"
"50","GR","Carp",22.618,"Greece"
"51","GR","Salmonids",6802.694,"Greece"
"52","HR","Other",50473.083,"Croatia"
"53","HR","Salmonids",1867.223,"Croatia"
"54","HR","Bass and bream",123334.51,"Croatia"
"55","HR","Carp",8152.05,"Croatia"
"56","HU","Other",20831.571,"Hungary"
"57","HU","Salmonids",328.942,"Hungary"
"58","HU","Carp",37155.357,"Hungary"
"59","IE","Other",0,"Ireland"
"60","IE","Salmonids",107832.854,"Ireland"
"61","IS","Salmonids",370663.505,"Iceland"
"62","IS","Other",42117.89,"Iceland"
"63","IT","Carp",1025.28,"Italy"
"64","IT","Turbot",568.646,"Italy"
"65","IT","Bass and bream",108447.16,"Italy"
"66","IT","Salmonids",107443.669,"Italy"
"67","IT","Other",25166.314,"Italy"
"68","LT","Catfish",2524.248,"Lithuania"
"69","LT","Other",4886.696,"Lithuania"
"70","LT","Carp",12339.868,"Lithuania"
"71","LT","Salmonids",1002.17,"Lithuania"
"72","LV","Other",1302.706,"Latvia"
"73","LV","Carp",1800.381,"Latvia"
"74","LV","Catfish",188.685,"Latvia"
"75","LV","Salmonids",187.739,"Latvia"
"76","MD","Other",6813.183,"Republic of Moldova"
"77","MD","Carp",25210.097,"Republic of Moldova"
"78","ME","Bass and bream",879.506,"Montenegro"
"79","ME","Salmonids",3492.541,"Montenegro"
"80","MK","Salmonids",7508.836,"North Macedonia"
"81","MK","Other",62.485,"North Macedonia"
"82","MK","Carp",1112.432,"North Macedonia"
"83","MT","Bass and bream",10808.056,"Malta"
"84","MT","Turbot",0,"Malta"
"85","MT","Other",326619.85,"Malta"
"86","NL","Catfish",5054.633,"Netherlands (Kingdom of the)"
"87","NL","Salmonids",263.262,"Netherlands (Kingdom of the)"
"88","NL","Other",38394.575,"Netherlands (Kingdom of the)"
"89","NL","Turbot",1053.049,"Netherlands (Kingdom of the)"
"90","NO","Salmonids",11021156.735,"Norway"
"91","NO","Other",56317.425,"Norway"
"92","PL","Catfish",547.585,"Poland"
"93","PL","Carp",59821.586,"Poland"
"94","PL","Other",28673.461,"Poland"
"95","PL","Salmonids",84243.891,"Poland"
"96","PT","Turbot",35934.232,"Portugal"
"97","PT","Other",5969.259,"Portugal"
"98","PT","Salmonids",5207.326,"Portugal"
"99","PT","Bass and bream",30721.115,"Portugal"
"100","RO","Salmonids",13254.459,"Romania"
"101","RO","Other",4350.484,"Romania"
"102","RO","Catfish",137.388,"Romania"
"103","RO","Carp",20221.836,"Romania"
"104","RS","Other",383.617,"Serbia"
"105","RS","Salmonids",6511.137,"Serbia"
"106","RS","Carp",15236.854,"Serbia"
"107","SE","Other",10900.935,"Sweden"
"108","SE","Salmonids",47027.702,"Sweden"
"109","SI","Other",793.34,"Slovenia"
"110","SI","Salmonids",4475.814,"Slovenia"
"111","SI","Carp",401.755,"Slovenia"
"112","SI","Catfish",211.314,"Slovenia"
"113","SI","Bass and bream",717.337,"Slovenia"
"114","SK","Other",274.498,"Slovakia"
"115","SK","Carp",1529.658,"Slovakia"
"116","SK","Catfish",2327.237,"Slovakia"
"117","SK","Salmonids",4124.002,"Slovakia"
"118","TR","Carp",504.42,"T端rkiye"
"119","TR","Other",85100.416,"T端rkiye"
"120","TR","Salmonids",680156.837,"T端rkiye"
"121","TR","Bass and bream",1765531.104,"T端rkiye"
